Date,Price,Fees(BTC),MinerRevenuePercentage,Issuance(BTC)
2018-05-05T00:00:00+00:00,9795.92577206312,39.22033334325106,0.02094534699663406,1868.5159334907062
2018-05-06T00:00:00+00:00,9595.08681940386,38.17291194659488,0.020538519005207156,1849.013941804368
2018-05-07T00:00:00+00:00,9339.5108471654,37.89087764827029,0.020320641884586963,1852.262199078822
2018-05-08T00:00:00+00:00,9212.36963471654,37.536433835986344,0.02025265142056126,1837.9169241939694
2018-05-09T00:00:00+00:00,9293.04227352425,36.561465502739075,0.019552384330336816,1858.1773086697233
2018-05-10T00:00:00+00:00,9037.53050905903,35.42754941239669,0.018868277111673916,1866.530145086008
2018-05-11T00:00:00+00:00,8419.75858737581,35.7676536958471,0.01944306311441788,1831.651376950257
2018-05-12T00:00:00+00:00,8485.77526680304,34.80791792136621,0.01869221630248717,1860.507454831475
2018-05-13T00:00:00+00:00,8695.83309380479,33.392091972445435,0.017922378921555203,1859.1940229775405
2018-05-14T00:00:00+00:00,8671.07417475161,33.654678890889755,0.01831430783960368,1833.044770105348
2018-05-15T00:00:00+00:00,8488.463421391,34.069461075778534,0.018507126889776643,1832.0391738421797
2018-05-16T00:00:00+00:00,8327.75620134424,33.93614451005622,0.018010675358108547,1882.7217771119074
2018-05-17T00:00:00+00:00,8050.51623933372,37.02009820129919,0.020047025839647844,1853.631554972919
2018-05-18T00:00:00+00:00,8233.08645528931,40.7526609548868,0.021902439089060432,1853.1776106013042
2018-05-19T00:00:00+00:00,8229.48293571011,39.40744707302594,0.02108222299672345,1862.1554092761412
2018-05-20T00:00:00+00:00,8511.44883021625,37.587998172647694,0.020149265216642273,1854.3859831166237
2018-05-21T00:00:00+00:00,8398.62312653419,36.78311825856673,0.01958361882232221,1867.9002352270459
2018-05-22T00:00:00+00:00,8007.52653214495,35.57184852624589,0.018904512443609085,1870.3502058236652
2018-05-23T00:00:00+00:00,7520.86767913501,34.96936303171515,0.01841132162067802,1889.6814300957071
2018-05-24T00:00:00+00:00,7575.62448597312,34.26337920025075,0.018127268367449493,1876.9087513337438
2018-05-25T00:00:00+00:00,7425.37567445938,33.814088626469406,0.017579961609769795,1917.2951574170258
2018-05-26T00:00:00+00:00,7326.30318644068,32.37260640941073,0.01674294266298232,1930.7582627398976
2018-05-27T00:00:00+00:00,7338.19304441847,30.728886863234386,0.015811310921695097,1945.6634798974105
2018-05-28T00:00:00+00:00,7110.82388164816,30.83788945533009,0.015828292111385634,1946.2055449102343
2018-05-29T00:00:00+00:00,7453.63372501461,30.30302551716383,0.015731706419542087,1920.117351796455
2018-05-30T00:00:00+00:00,7374.6690490941,29.343839562518355,0.015052399203347042,1951.9776828218983
2018-05-31T00:00:00+00:00,7478.74186703682,28.40180984470356,0.014440618529192355,1973.605472469161
2018-06-01T00:00:00+00:00,7519.83573728814,27.315025477865614,0.013811572626830079,1986.279788410516
2018-06-02T00:00:00+00:00,7637.44825306838,25.941718605632413,0.013150220700781926,1975.4948148592014
2018-06-03T00:00:00+00:00,7702.15793308007,24.66644713742836,0.012464657346155096,1983.2454630018012
2018-06-04T00:00:00+00:00,7486.65319959088,24.127802077749816,0.012009182712246168,2021.2772801265762
2018-06-05T00:00:00+00:00,7611.14985271771,23.433860920531092,0.011560597801845136,2042.0551201107542
2018-06-06T00:00:00+00:00,7650.77580713033,22.949550866714706,0.011432079018193963,2016.48573009691
2018-06-07T00:00:00+00:00,7665.9478962595,22.658484370875367,0.011428652570101987,1987.8625138347961
2018-06-08T00:00:00+00:00,7622.60233021625,22.04575982576595,0.011212789420135275,1965.9421996054466
2018-06-09T00:00:00+00:00,7556.17169783752,21.675932426295205,0.011131853624076706,1943.6369246547658
2018-06-10T00:00:00+00:00,6744.73580099357,21.043830939258307,0.011035406709732708,1899.1198090729201
2018-06-11T00:00:00+00:00,6849.45268731736,21.55661998435102,0.01142669024295361,1880.4798329388052
2018-06-12T00:00:00+00:00,6526.69968001169,21.575557468807144,0.011477747142191049,1871.9823538214546
